id,label,text,best_field,best_cost,field_margin,best_density,stability_index,action,route,reason,llm_called,baseline_assumed_tokens,gated_tokens,estimated_savings,answer
fact_001,factual,La capital de Francia es París.,operational,0.4175610654756428,0.4407398889255651,0.23511624747233753,0.2481675552712622,ALLOW,operational,stable_contextual_field,True,257,37,220,"Correcto, la capital de Francia es París."
fact_002,factual,El agua hierve a 100°C al nivel del mar.,operational,0.4776230627930079,0.31297120885215246,0.3970422615480286,0.2601691715542889,ALLOW,operational,stable_contextual_field,True,260,109,151,"Sí, el agua hierve a 100°C al nivel del mar, donde la presión atmosférica es de aproximadamente 1 atmósfera. Sin embargo, la temperatura de ebullición del agua puede variar con la altitud, ya que a mayores altitudes la presión atmosférica es menor, lo que hace que el agua hierva a temperaturas más bajas."
fact_003,factual,La Tierra orbita alrededor del Sol.,operational,0.5092771081024701,0.10748516947221542,0.3503776649302691,0.07394874439699252,ALLOW_LIGHT,operational,moderately_stable_context,True,258,62,196,"Sí, la Tierra orbita alrededor del Sol en una trayectoria elíptica, completando una vuelta aproximadamente cada 365 días."
fact_004,factual,Los humanos necesitan oxígeno para sobrevivir.,operational,0.4150319050877774,0.4137616688420273,0.3029548862528841,0.30202767012171916,ALLOW,operational,stable_contextual_field,True,261,77,184,"Sí, los humanos necesitan oxígeno para sobrevivir. El oxígeno es esencial para la respiración celular, un proceso que permite a las células producir energía. Sin oxígeno, los organismos humanos no podrían llevar a cabo funciones vitales."
fact_005,factual,"La velocidad de la luz es aproximadamente 299,792 km/s.",scientific,0.8021439076040049,0.04668176630741583,0.18922628013615314,0.011012259651666273,CLARIFY,none,high_cost_low_margin,False,263,41,222,I do not have enough stable context to answer reliably. Please add more details or clarify the intended domain.
fact_006,factual,El idioma oficial de Brasil es el portugués.,conceptual,0.8609054924129778,0.015195711234775477,0.11755640624538596,0.0020749701550816977,CLARIFY,none,insufficient_context_high_dispersion,False,261,38,223,I need a little more context before I can answer accurately. Could you clarify what you want me to focus on?
fact_007,factual,Las empresas en México deben pagar ISR e IVA.,operational,0.6534724772273668,0.17275574350681944,0.2611182330458883,0.06903071830113833,ALLOW_LIGHT,operational,moderately_stable_context,True,261,69,192,"Sí, en México las empresas están obligadas a pagar el Impuesto Sobre la Renta (ISR) y el Impuesto al Valor Agregado (IVA)."
fact_008,factual,La moneda de Japón es el yen.,operational,0.8605589669502364,0.05445675382997239,0.14408487464116096,0.009117788379758835,CLARIFY,none,insufficient_context_high_dispersion,False,257,34,223,I need a little more context before I can answer accurately. Could you clarify what you want me to focus on?
fact_009,factual,La fotosíntesis convierte dióxido de carbono y agua en glucosa y oxígeno.,operational,0.7917703117187467,0.008218629477950823,0.2167851194998634,0.0022502442275652763,CLARIFY,none,weak_contextual_determination,False,268,41,227,Your request can be interpreted in more than one way. Could you provide more specific context?
fact_010,factual,México tiene 32 entidades federativas.,operational,0.22692839770613918,0.6530451656125955,0.2613753559488718,0.7521751986003836,ALLOW,operational,stable_contextual_field,True,259,60,199,"Correcto, México está compuesto por 32 entidades federativas, que incluyen 31 estados y la Ciudad de México, que es la capital del país."
conc_001,conceptual,La coherencia lógica es fundamental para un buen argumento.,conceptual,0.44605836675127797,0.15823271602967293,0.5434002563255335,0.19276333515688565,ALLOW_LIGHT,conceptual,moderately_stable_context,True,264,67,197,"Sí, la coherencia lógica asegura que las ideas se conecten de manera clara y razonable, fortaleciendo la persuasión del argumento."
conc_002,conceptual,Toda causa produce un efecto bajo condiciones normales.,conceptual,0.5683479197923533,0.1407047203551789,0.3215545253319335,0.07960658953815127,ALLOW_LIGHT,conceptual,moderately_stable_context,True,263,62,201,"Sí, esa es una afirmación básica de la ley de causa y efecto, que establece que cada acción tiene una reacción correspondiente."
conc_003,conceptual,El significado de las palabras depende del contexto.,conceptual,0.47779666709636337,0.27165438690916355,0.5183101180497938,0.2946885716120655,ALLOW,conceptual,stable_contextual_field,True,263,106,157,"Sí, es correcto. El significado de las palabras puede variar según el contexto en el que se utilicen. Factores como la situación, la cultura, el tono y la intención del hablante influyen en cómo se interpretan las palabras. Por ejemplo, la palabra ""banco"" puede referirse a una entidad financiera o a un lugar para sentarse, dependiendo del contexto."
conc_004,conceptual,Una contradicción interna invalida un razonamiento.,conceptual,0.4467686180207702,0.24872493670238444,0.5113434985351677,0.2846750514164865,ALLOW,conceptual,stable_contextual_field,True,262,99,163,"Sí, una contradicción interna puede invalidar un razonamiento, ya que implica que las premisas o afirmaciones dentro del argumento son inconsistentes entre sí. Esto puede llevar a conclusiones erróneas o a la falta de validez del argumento en su conjunto. En lógica, un razonamiento debe ser coherente para ser considerado válido."
conc_005,conceptual,La consistencia es base de la confianza institucional.,conceptual,0.5987936186319425,0.037277153173237876,0.4090048050646945,0.025462086255729502,CLARIFY,none,semantic_dispersion_detected,False,263,27,236,I need more information before giving a reliable answer.
conc_006,conceptual,La identidad personal persiste a través del tiempo.,conceptual,0.49078250354021585,0.33369665487202255,0.45902017144157614,0.3121005631291517,ALLOW,conceptual,stable_contextual_field,True,262,173,89,"La afirmación de que la identidad personal persiste a través del tiempo es un tema central en la filosofía de la identidad. Se refiere a la continuidad de la persona a lo largo de su vida, a pesar de los cambios físicos, psicológicos y sociales que pueda experimentar. 

Existen diferentes teorías sobre cómo se mantiene esta identidad. Algunas sugieren que la memoria y la conciencia son fundamentales para la continuidad de la identidad, mientras que otras enfatizan la importancia del cuerpo físico o de las relaciones sociales. 

En resumen, la identidad personal puede considerarse como una construcción compleja que se mantiene a lo largo del tiempo a través de diversos factores, aunque también es objeto de debate y reflexión filosófica."
conc_007,conceptual,La ética debe guiar las decisiones empresariales.,business,0.6495667054038095,0.14393402067268424,0.3765001412452084,0.08342665758948943,ALLOW_LIGHT,business,moderately_stable_context,True,262,67,195,"Sí, la ética es fundamental en las decisiones empresariales, ya que promueve la confianza, la responsabilidad social y la sostenibilidad a largo plazo."
